ID,LON,LAT
"1",142.41609,44.18982
"2",142.44307,44.35950
"3",142.33208,44.48308
"4",142.07108,44.80913
"5",142.48807,44.34200
"6",141.81609,44.99530
"46",143.26001,44.24954
"45",143.54299,44.09957
"43",143.60101,43.68212
"44",143.91298,43.79912
"41",144.09896,43.83522
"42",144.13295,43.89742
"7",141.70017,43.90813
"8",142.65609,43.89267
"9",142.35912,43.77847
"10",142.27513,43.76347
"11",142.50111,43.69268
"12",142.37712,43.68068
"13",142.13314,43.71797
"14",141.88318,43.55678
"15",142.01315,43.80655
"16",142.04416,43.56048
"17",141.68921,43.33240
"18",141.54224,43.12212
"19",141.87322,42.94575
"20",141.68723,43.08773
"21",141.67024,42.84556
"22",141.32127,42.96913
"23",141.41825,43.08302
"24",141.72221,43.20962
"25",140.46036,42.81052
"26",140.01042,42.42026
"27",141.93623,42.57330
"28",142.14121,42.58251
"38",144.45095,43.48828
"39",144.60095,43.29970
"40",144.39698,43.05563
"29",142.92611,43.06687
"30",143.20310,42.93420
"31",143.51108,42.80723
"32",143.19909,43.00749
"33",143.18810,42.83941
"34",143.44308,42.93081
"35",143.22508,43.18687
"36",143.15711,42.79781
"37",143.51606,43.09419
