ID,LON,LAT,ìc,ÇªÇÃëºî_ópín,êXó—,çrín,åöï®ópín,ìπòH,ìSìπ,ÇªÇÃëºÇÃópín,âÕêÏínãyÇ—åŒè¿,äCïl,äCêÖàÊ,ÉSÉãÉtèÍ,âêÕîÕàÕäO
"1",142.416090,44.189820,3610,6117,63179,3332,285,0,0,730,8,0,0,23,0
"2",142.443070,44.359500,15856,27677,126785,8467,1833,135,19,2240,95,0,0,71,0
"3",142.332080,44.483080,17123,40472,230321,13801,3252,234,33,3602,20,0,0,141,0
"4",142.071080,44.809130,17418,48898,338875,20217,3589,244,93,3898,4,0,0,143,0
"5",142.488070,44.342000,488,5485,64791,2662,288,0,0,760,105,0,0,70,0
"6",141.816090,44.995300,17418,66548,395880,26889,4130,252,102,4032,107,0,0,143,0
"46",143.260010,44.249540,2,6988,97111,2841,319,0,0,224,50,0,0,0,0
"45",143.542990,44.099570,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",143.601010,43.682120,0,2064,42207,405,160,0,0,391,23,0,0,17,0
"44",143.912980,43.799120,1420,24801,114156,2537,3530,3,5,2395,34,0,0,127,0
"41",144.098960,43.835220,87,10595,73809,2274,563,0,0,229,171,0,0,0,0
"42",144.132950,43.897420,306,17100,91490,4845,1196,21,0,789,142,0,0,0,0
"7",141.700170,43.908130,1064,274,23396,396,23,58,46,306,9,0,0,0,0
"8",142.656090,43.892670,1084,1408,106595,3718,316,131,20,1150,117,0,0,0,0
"9",142.359120,43.778470,7572,2370,132802,4366,1921,236,65,1691,1,0,0,50,0
"10",142.275130,43.763470,38515,25805,255094,14005,10741,384,108,5112,63,0,0,826,0
"11",142.501110,43.692680,930,222,22773,3692,158,0,0,69,165,0,0,0,0
"12",142.377120,43.680680,3803,15304,43805,3356,732,0,21,609,13,0,0,169,0
"13",142.133140,43.717970,40690,26971,273530,14882,10911,471,110,5389,26,0,0,945,0
"14",141.883180,43.556780,76175,42198,430847,26679,13515,724,179,6379,76,0,0,1362,0
"15",142.013150,43.806550,3091,6586,86953,6380,181,0,0,122,50,0,0,0,0
"16",142.044160,43.560480,12981,24968,214371,8737,2837,14,48,3267,53,0,0,369,0
"17",141.689210,43.332400,106923,73000,716536,41132,20478,1037,280,11509,203,0,0,2193,0
"18",141.542240,43.122120,155893,119249,923009,52039,33467,1743,447,18393,158,0,0,5163,0
"19",141.873220,42.945750,409,1629,77763,2054,511,51,29,556,40,0,0,76,0
"20",141.687230,43.087730,10318,7772,92991,2560,1490,70,38,993,9,0,0,552,0
"21",141.670240,42.845560,0,15,24410,2481,1041,21,4,314,24,0,0,41,0
"22",141.321270,42.969130,35,203,53846,1512,701,2,0,236,4,0,0,54,0
"23",141.418250,43.083020,35,355,60829,2032,4999,51,41,933,178,0,0,265,0
"24",141.722210,43.209620,716,772,19,3,85,0,0,8,0,0,0,7,0
"25",140.460360,42.810520,3081,19636,112633,6457,1191,0,11,1801,22,0,0,612,0
"26",140.010420,42.420260,652,1320,32197,2630,136,0,0,78,119,0,0,0,0
"27",141.936230,42.573300,3063,4428,117924,2934,369,115,3,530,210,0,0,149,0
"28",142.141210,42.582510,1641,3991,121766,3055,364,0,0,365,26,0,0,0,0
"38",144.450950,43.488280,0,5959,31389,1566,267,0,4,336,6,0,0,82,0
"39",144.600950,43.299700,0,20487,57011,4480,1149,0,19,3028,56,0,0,92,0
"40",144.396980,43.055630,0,10591,30872,12187,391,0,0,862,6,0,0,217,0
"29",142.926110,43.066870,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",143.203100,42.934200,0,71795,169169,9059,3197,252,18,8284,18,0,0,304,0
"31",143.511080,42.807230,345,254112,544152,23157,12836,776,62,18502,15,0,0,858,0
"32",143.199090,43.007490,0,13435,54289,1806,383,0,0,3125,324,0,0,141,0
"33",143.188100,42.839410,0,2097,85,8,94,41,0,35,11,0,0,0,0
"34",143.443080,42.930810,24,53103,221151,8151,2096,105,0,1137,196,0,0,41,0
"35",143.225080,43.186870,0,4765,52925,1643,71,0,0,2425,3,0,0,141,0
"36",143.157110,42.797810,0,8093,44990,1030,261,0,0,342,184,0,0,0,0
"37",143.516060,43.094190,18,36763,197696,6954,1606,76,0,1059,76,0,0,0,0
