ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"49",140.670480,40.215240,6345,4443,104106,1815,2019,180,14,1593,6,0,0,0,0
"50",140.370510,40.219630,15566,6205,180058,3456,5295,225,44,2117,48,0,0,52,0
"51",140.239520,40.204930,24103,8162,328643,6070,7505,226,60,3125,45,0,0,176,0
"52",140.451550,39.189560,3169,699,38426,295,935,25,4,103,167,0,0,0,0
"53",140.400550,39.275940,14500,3505,99691,1072,3249,66,4,580,11,0,0,19,0
"54",140.467530,39.500320,11407,680,104036,1832,2171,22,8,860,207,0,0,0,0
"55",140.529530,39.423630,294,0,6,0,153,0,0,36,0,0,0,0,0
"56",140.417540,39.487020,59215,7186,246937,3512,12057,314,33,2472,92,0,0,110,0
"57",140.156560,39.613900,69437,9011,296686,5044,13710,460,36,3136,6,0,0,216,0
"58",140.066580,39.375020,10599,2243,73074,2255,1723,36,2,469,108,0,0,0,0
